layer,ProjectNum,ProjectID,Name,BondAmount,AmountPaid,District,Category,Status,longitude,latitude
Active Bond Program,1011490,TW12S700,Abrams Road Bridge - hike & bike trail,48000,95021.77,TBD,Erosion Control,Under Construction,-96.7412930164351,32.8724693510579
Active Bond Program,1011491,TW12S701,Anderson Bonner Park Site 1 - hike & bike trail (WRC 164),231400,236056.69,TBD,Erosion Control,Under Construction,-96.7769493727987,32.9168772688446
Active Bond Program,1011492,TW12S702,Audelia 11601 (Audelia Branch - E. Bank downstream of Audelia Bridge),617700,68651.01,TBD,Erosion Control,Awarded for Construction,-96.718237987988,32.9072209180093
Active Bond Program,1011493,TW12S703,Bainbridge 2733,91400,79365.64,TBD,Erosion Control,Under Construction,-96.8647096623025,32.6639187787888
Active Bond Program,1011494,TW12S704,Beechmont Dr. 2507,54800,126143.47,TBD,Erosion Control,Under Construction,-96.6861723331412,32.8234738335572
Active Bond Program,1011496,TW12S706,Blackstone 2729,91400,215967.38,TBD,Erosion Control,Under Construction,-96.8638428059223,32.6647740347914
Active Bond Program,1011497,TW12S707,Blackstone 2745,220500,261630.1,TBD,Erosion Control,Under Construction,-96.8644410702192,32.6644994591554
Active Bond Program,1011498,TW12S708,Blue Ridge 3721,123500,126141.1,TBD,Erosion Control,Under Construction,-96.882547046724,32.7004911267348
Active Bond Program,1011500,TW12S711,Cavender 445,73100,100283,TBD,Erosion Control,Under Construction,-96.8651561877897,32.7490303262485
Active Bond Program,1011501,TW12S710,Caracas 5810 and 5816 (Formerly Caracas 5410 and 5416),171400,318702.11,TBD,Erosion Control,Under Construction,-96.8450947425538,32.6762726276419
Active Bond Program,1011502,TW12S712,Cedar Springs 5910,185100,241065.95,TBD,Erosion Control,Under Construction,-96.8318132364065,32.8288537775918
Active Bond Program,1011504,TW12S714,Clarendon 3435,111200,100978.94,TBD,Erosion Control,Under Construction,-96.8775083362945,32.7351803939414
Active Bond Program,1011506,TW12S717,Country Brook Pond between Park Grove Ln and Quail Hollow Rd,40000,38425.38,12,Erosion Control,Under Construction,-96.8353063398089,33.0000054653696
Active Bond Program,1011507,TW12S716,Colorado (W) 705,77700,162714.82,TBD,Erosion Control,Under Construction,-96.8340452189775,32.7590935769364
Active Bond Program,1011508,TW12S718,"Deep Hill Circle 2671, 2675, 2679, 2683",553500,772093.15,TBD,Erosion Control,Under Construction,-96.8625393636585,32.6939841146954
Active Bond Program,1011510,TW12S720,Fair Oaks Crossing 8201,114300,529213,TBD,Erosion Control,Under Construction,-96.7306922195203,32.8925067358972
