GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present,institutional_parcel_count,small_investor_count,total_sfr_parcels,institutional_pct,top_owner_1,top_owner_2,top_owner_3
48113013718,Census Tract 137.18,1122900,1.0,245.0,245.0,1995.0,0,0,43,0,0,0,43,0.0,0.0,,0.0,False,3,73,442,0.679,CF KL ASSETS 20191 LLC,ALLIED CAPITAL LLC,RESCOM INVESTMENT GROUP LLC
48113013719,Census Tract 137.19,4628606,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False,3,49,812,0.369,RS XII NM DALLAS OWNER 1 LP,US SFE ASSET COMPANY 1 LLC,KAMY REAL PPTY TRUST
48113013720,Census Tract 137.20,2515777,0.0,0.0,0.0,,0,0,13,0,0,0,13,0.0,0.0,,0.0,False,13,125,1333,0.975,RESCOM INVESTMENT GROUP LLC,F Z HOMES LLC,A & R TEXAS PROPERTIES LLC
48113018128,Census Tract 181.28,1950196,0.0,0.0,0.0,,0,0,96,0,0,0,96,0.0,0.0,,0.0,False,29,180,1300,2.231,BCL REAL ESTATE LLC,CSMA FT LLC,TRICON SFR 2020 2
48113018129,Census Tract 181.29,4002178,0.0,0.0,0.0,,0,0,4,0,0,0,4,0.0,0.0,,0.0,False,18,109,1118,1.61,LAWLER DELMA 2020 TRUST,CERBERUS SFR HOLDINGS LP,SAVING GRACE#2 LLC
48113013721,Census Tract 137.21,3356114,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False,16,118,2207,0.725,ARNS INVESTMENTS LLC,CBAR ASSET COMPANY LLC,FKH SFR PROPCO D LP
48113013722,Census Tract 137.22,3322672,0.0,0.0,0.0,,0,0,2,0,1,0,3,0.0,0.0,,0.0,False,3,53,367,0.817,BAF ASSETS 2 LLC,SRP SUB LLC,BAF ASSETS 5 LLC
48113013725,Census Tract 137.25,1839527,0.0,0.0,0.0,,0,0,4,0,0,0,4,0.0,0.0,,0.0,False,1,10,174,0.575,A & R TEXAS PROPERTIES LLC,,
48113013804,Census Tract 138.04,2170395,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False,8,86,1079,0.741,F Z HOMES LLC,DPI RENTALS LLC,BAF ASSETS 6 LLC
48113013902,Census Tract 139.02,2518503,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False,12,190,1422,0.844,FKH SFR C1 LP,CSMA FT LLC,GLENDORA PROPERTIES LLC
48113014001,Census Tract 140.01,3657802,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,2,102,1200,0.167,ARNS INVESTMENTS LLC,FZ HOMES LLC,
48113019040,Census Tract 190.40,5350032,0.0,0.0,0.0,,0,0,110,0,0,0,110,0.0,0.0,,0.0,False,0,72,727,0.0,,,
48113018506,Census Tract 185.06,7637375,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,0,0,0,0.0,,,
48113010904,Census Tract 109.04,7622014,3.0,788.0,698.0,2022.0,0,0,241,0,0,0,241,0.0,0.0,,0.2349999640821346,True,2,8,65,3.077,BT SFRL I LLC,A & R TEXAS PROPERTIES LLC,
48113014132,Census Tract 141.32,1151866,1.0,300.0,300.0,1995.0,0,0,225,0,0,0,225,0.0,0.0,,0.0,False,0,48,675,0.0,,,
48113018501,Census Tract 185.01,8899886,0.0,0.0,0.0,,0,0,6,0,0,0,6,0.0,0.0,,0.0,False,13,170,1156,1.125,CSMA FT LLC,KAMY REAL PPTY TRUST,PINNEBOG INVESTMENTS LLC
48113014119,Census Tract 141.19,3312067,0.0,0.0,0.0,,0,0,5,0,0,0,5,0.0,0.0,,0.0,False,5,135,1541,0.324,RS XII DALLAS OWNER 1 LP,S D HOME DESIGN LLC,OPENDOOR PROPERTY TRUST I
48113014120,Census Tract 141.20,3088207,0.0,0.0,0.0,,0,0,6,0,0,0,6,0.0,0.0,,0.0,False,6,181,1871,0.321,SFR II TEXAS SUB 2021 3 LLC,FYR SFR BORROWER LLC,BISMUTH PROPCO SERIES LLC
48113014123,Census Tract 141.23,6458186,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False,2,100,1923,0.104,MILLENNIUM TRUST COMPANY LLC,IZENITH LLC,
48113014126,Census Tract 141.26,12384782,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False,1,131,1975,0.051,HPA II TEXAS SUB 2020-1 ML LLC,,
48113014203,Census Tract 142.03,1657175,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,25,146,1016,2.461,NEPTUNE VENTURES LLC,WAVE ASSET MANAGEMENT LLC,A SQUARE FAMILY TRUST
48113014204,Census Tract 142.04,4828675,0.0,0.0,0.0,,0,0,12,0,0,0,12,0.0,0.0,,0.0,False,3,25,287,1.045,NEPTUNE VENTURES LLC,BLUESTONE FINANCE LLC,
