GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present
48113015303,Census Tract 153.03,5641649,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113015305,Census Tract 153.05,2035289,0.0,0.0,0.0,,0,0,27,0,0,0,27,0.0,0.0,,0.0,False
48113009101,Census Tract 91.01,3393611,0.0,0.0,0.0,,0,0,18,0,0,0,18,0.0,0.0,,0.0,False
48113009401,Census Tract 94.01,1587561,0.0,0.0,0.0,,0,0,0,0,0,1,1,0.0,0.0,,0.0,False
48113009402,Census Tract 94.02,1653022,0.0,0.0,0.0,,0,0,0,0,0,1,1,0.0,0.0,,0.0,False
48113009500,Census Tract 95,2725157,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113014124,Census Tract 141.24,11216848,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113014209,Census Tract 142.09,1131054,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113018508,Census Tract 185.08,229132,0.0,0.0,0.0,,0,0,19,0,0,0,19,0.0,0.0,,0.0,False
48113015304,Census Tract 153.04,16990954,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113016406,Census Tract 164.06,1332048,0.0,0.0,0.0,,0,0,58,0,0,0,58,0.0,0.0,,0.0,False
48113018205,Census Tract 182.05,1623865,0.0,0.0,0.0,,0,0,7,0,0,0,7,0.0,0.0,,0.0,False
48113011500,Census Tract 115,15115739,2.0,323.0,323.0,2012.0,0,0,222,0,0,128,350,0.0,0.0,,0.0,False
48113005902,Census Tract 59.02,1983917,0.0,0.0,0.0,,0,0,25,0,0,0,25,0.0,0.0,,0.0,False
48113007601,Census Tract 76.01,2741482,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113007604,Census Tract 76.04,2620024,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113007605,Census Tract 76.05,2547985,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113007801,Census Tract 78.01,2442663,0.0,0.0,0.0,,0,0,4,0,0,0,4,0.0,0.0,,0.0,False
48113007805,Census Tract 78.05,2692556,0.0,0.0,0.0,,0,0,3,0,251,0,254,0.0,0.0,,0.7150020576197795,True
48113004700,Census Tract 47,966092,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113004800,Census Tract 48,1691169,0.0,0.0,0.0,,0,0,4,0,0,0,4,0.0,0.0,,0.0,False
48113005000,Census Tract 50,1416298,0.0,0.0,0.0,,68,0,111,0,0,0,179,0.0,0.0,,0.0,False
48113005100,Census Tract 51,986541,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False
48113005200,Census Tract 52,1490146,0.0,0.0,0.0,,0,0,4,0,0,0,4,0.0,0.0,,0.0,False
48113002500,Census Tract 25,4306777,1.0,150.0,150.0,2010.0,0,6,194,0,0,0,200,0.0,0.0,,0.0,False
48113019019,Census Tract 190.19,1725225,1.0,168.0,168.0,2020.0,0,0,42,0,167,1,210,0.0,0.0,,3.4746956319413893e-06,False
48113005400,Census Tract 54,2645077,1.0,80.0,80.0,2007.0,0,0,48,0,0,0,48,0.0,0.0,,0.0,False
48113005500,Census Tract 55,2710701,0.0,0.0,0.0,,0,0,16,0,0,0,16,0.0,0.0,,0.0,False
48113005300,Census Tract 53,2100610,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113005600,Census Tract 56,2445756,0.0,0.0,0.0,,0,0,5,0,0,0,5,0.0,0.0,,0.0,False
48113013624,Census Tract 136.24,658874,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113005700,Census Tract 57,2841998,1.0,45.0,0.0,2015.0,0,0,65,0,0,0,65,0.0,0.0,,0.0,False
48113007815,Census Tract 78.15,1273816,0.0,0.0,0.0,,0,0,14,0,0,0,14,0.0,0.0,,0.8411470804709618,True
48113007819,Census Tract 78.19,689384,0.0,0.0,0.0,,0,0,12,0,0,0,12,0.0,0.0,,0.6039868734097988,True
48113007902,Census Tract 79.02,3003169,0.0,0.0,0.0,,0,0,7,0,0,0,7,0.0,0.0,,0.6948633241739838,True
