GEOID,NAMELSAD,population,median_income,pct_black,pct_hispanic,pct_nonwhite,pct_renter,rent_burden_pct,south_of_i30,tif_present,oz_designated,redline_legacy,in_pid,pid_name,pid_north,pid_south,bates_typology,bates_vulnerable,bates_vuln_zscore,market_cat,demo_change,hmda_denials_total,hmda_denials_black,hmda_denial_rate,hmda_black_denial_share,dpi,risk_tier,vendor_share_5mi,income_2023,home_val_2023,renter_share_2023,pct_black_2023,pct_hispanic_2023,pct_nonwhite_2023,total_units_2023,pop_2023,z_home_val,z_income,invest_tool_pressure,z_tools,z_vendor,z_denial,gent_pressure,pct_renter_2023,vuln_index,bates_vulnerable_v2,demo_pressure,bates_typology_v2,income_2013,home_val_2013,renter_share_2013,pct_black_2013,pct_hisp_2013,renter_share_2013,income_chg_pct,income_real_chg_pct,home_val_chg_pct,renter_share_chg,black_share_chg,hisp_share_chg,demo_change_real,real_gent_signal,bates_typology_v21
48113011702,Census Tract 117.02,5639,57607.0,12.1,80.0,92.1,31.0,32.3,1,0,0,0.5,0,,0,0,Stable,1,0.6864876918162832,Low,0,15.0,2.0,0.2678571428571428,0.1333333333333333,32.011019379731586,Moderate,0.0201737454484146,57607.0,141700.0,0.3098942128189172,0.1212981025004433,0.7996098599042384,0.9267600638411064,1607.0,5639.0,-0.7640148171935981,-0.6158882528094787,0.0,-0.3569657034940823,0.0,-0.3612699195008912,-0.5106186750936496,0.3098942128189172,0.3383320977145174,1,0,Susceptible,34094.0,75000.0,0.24345146379044685,0.06051932120220814,0.7546514005315886,0.24345146379044685,68.9652138206136,32.9652138206136,88.93333333333334,0.06644274902847036,0.060778781298235204,0.04495845937264975,1,0,Susceptible
48113012000,Census Tract 120,10690,36948.0,41.2,55.2,96.4,78.1,34.7,0,0,0,0.5,0,,0,0,Stable,1,1.1720800525234314,Low,0,14.0,4.0,0.28,0.2857142857142857,33.015736217917166,Moderate,0.0126794003997888,36948.0,197400.0,0.7805315019408778,0.4113189897100093,0.5521983161833489,0.9728718428437793,3349.0,10690.0,-0.5597079851490595,-1.0774274668822457,0.0,-0.3569657034940823,0.0,-0.2726010496310907,-0.5544960873962528,0.7805315019408778,0.5739846319622579,1,0,Susceptible,32845.0,73800.0,0.6099018352539479,0.46969094044302956,0.47393553521687226,0.6099018352539479,12.492007915968944,-23.507992084031056,167.47967479674796,0.17062966668692992,-0.058371950733020206,0.07826278096647665,1,0,Susceptible
48113012206,Census Tract 122.06,5125,103036.0,39.4,35.0,74.4,10.9,12.4,0,0,0,0.5,0,,0,0,Stable,0,-0.5320387761975385,Accelerating,0,39.0,12.0,0.2191011235955056,0.3076923076923077,26.823542554041463,Moderate,0.0480802869199391,103036.0,306400.0,0.1093579978237214,0.391609756097561,0.3504390243902439,0.7660487804878049,1838.0,5125.0,-0.1598974879703394,0.3990333288794572,0.0,-0.3569657034940823,0.0,-0.7172933064533259,-0.045447214443275,0.1093579978237214,-0.1896547264031073,0,0,Historic Loss,61272.0,137700.0,0.19826086956521738,0.5180161085205596,0.23929631199660872,0.19826086956521738,68.16163990077033,32.161639900770325,122.51270878721859,-0.08890287174149594,-0.12640635242299858,0.11114271239363516,1,1,Historic Loss
48113012207,Census Tract 122.07,7094,55520.0,39.3,51.7,91.0,63.5,16.5,0,0,0,0.5,0,,0,0,Susceptible,1,0.6912408869280864,Adjacent,0,23.0,7.0,0.3333333333333333,0.3043478260869565,30.1595412850171,Moderate,0.014652898067823,55520.0,276200.0,0.6345475910693302,0.3930081759233155,0.5167747392162391,0.9391034677191992,2553.0,7094.0,-0.2706706715923335,-0.6625135657370097,0.0,-0.3569657034940823,0.0,0.1168465356794024,-0.3496045523650897,0.6345475910693302,0.4713077000973438,1,0,Susceptible,38981.0,136000.0,0.6108870967741935,0.44977230109831234,0.4606214840610769,0.6108870967741935,42.42836253559427,6.4283625355942675,103.08823529411764,0.023660494295136725,-0.05676412517499685,0.056153255155162174,1,0,Susceptible
48113012208,Census Tract 122.08,2587,32721.0,34.7,61.3,96.0,100.0,37.1,0,0,0,0.5,1,Far East Dallas PID,1,0,Susceptible,1,1.398420698368536,Adjacent,0,,,,,33.197780584779565,Moderate,0.1047779300065049,32721.0,,1.0,0.3467336683417085,0.6130653266331658,0.9628913799768072,994.0,2587.0,-0.3022153530211132,-1.1718621567455296,0.0,-0.3569657034940823,0.0,-0.1462937246655253,-0.4879823386172925,1.0,0.6273017443300278,1,0,Susceptible,22442.0,,1.0,0.32744894427137416,0.5773624091381101,1.0,45.802513144995984,9.802513144995984,,0.0,0.01928472407033438,0.03570291749505572,0,0,Susceptible
48113010704,Census Tract 107.04,6716,42530.0,28.9,62.6,91.5,63.6,30.6,1,0,0,0.5,0,,0,0,Susceptible,1,0.934411138009586,Adjacent,0,12.0,0.0,0.3076923076923077,0.0,31.72767762888808,Moderate,0.0214610094444835,42530.0,206200.0,0.6355437665782493,0.2790351399642644,0.6261167361524718,0.9761762954139368,1885.0,6716.0,-0.52742970647775,-0.9527209519030992,0.0,-0.3569657034940823,0.0,-0.0703878803352576,-0.5120220611165079,0.6355437665782493,0.5619434349614898,1,0,Susceptible,32173.0,101700.0,0.6314016172506739,0.20739348370927319,0.6919381787802841,0.6314016172506739,32.191589220775185,-3.8084107792248147,102.75319567354965,0.004142149327575395,0.07164165625499125,-0.06582144262781231,0,0,Susceptible
48113980100,Census Tract 9801,0,,,,0.0,42.0,21.65,0,0,0,0.0,0,,0,0,Stable,0,-0.208415314405955,Adjacent,0,,,,,6.999999999999999,Low,0.149533044477501,,,,,,,0.0,0.0,-0.3022153530211132,-0.2719846809120423,0.0,-0.3569657034940823,0.0,-0.1462937246655253,-0.2630129696589208,42.0,4.51127079759846,1,0,Susceptible,,,,,,,,,,,,,0,0,Susceptible
48113000605,Census Tract 6.05,2217,109707.0,4.8,15.0,19.8,48.3,17.0,0,1,0,1.0,0,,0,0,Historic Loss,0,-0.6114197718966894,Sustained,1,9.0,1.0,0.1267605633802817,0.1111111111111111,46.25147253479872,Moderate,0.1996888989636197,109707.0,336600.0,0.4826717076244486,0.0433017591339648,0.1502029769959404,0.4046008119079838,1587.0,2217.0,-0.0491243043483454,0.5480690081030125,1.0,2.797046334227604,0.0,-1.391577210241523,0.8190853290607333,0.4826717076244486,-0.7377637677687702,0,1,Historic Loss,71875.0,257000.0,0.5188118811881188,0.062557497700092,0.15271389144434222,0.5188118811881188,52.63582608695651,16.635826086956513,30.972762645914397,-0.036140173563670164,-0.01925573856612718,-0.002510914448401763,0,0,Historic Loss
48113016407,Census Tract 164.07,6320,70323.0,11.1,77.0,88.1,49.7,25.2,1,0,0,0.5,0,,0,0,Stable,0,0.1399660420066172,Low,0,15.0,0.0,0.2112676056338028,0.0,30.56538591178214,Moderate,0.0035297689709737,70323.0,212200.0,0.4967845659163987,0.0843354430379746,0.769620253164557,0.8685126582278481,1866.0,6320.0,-0.5054217892018571,-0.3318022541575931,0.0,-0.3569657034940823,0.0,-0.774494768728417,-0.3490896156335688,0.4967845659163987,0.1526779456265345,0,0,Stable,37259.0,91900.0,0.5512589928057554,0.11559831955549532,0.6616072638568912,0.5512589928057554,88.74097533481843,52.74097533481843,130.9031556039173,-0.05447442688935672,-0.03126287651752063,0.10801298930766579,1,1,Stable
48113007101,Census Tract 71.01,2313,181944.0,0.0,18.8,18.8,46.7,34.3,0,1,0,0.0,0,,0,0,Stable,0,-0.3421535974602028,Sustained,0,6.0,0.0,0.1666666666666666,0.0,22.89221433062566,Low,0.1590735444802312,181944.0,970500.0,0.4671968190854871,0.0,0.1876351059230436,0.2166018158236057,1006.0,2313.0,2.2760121558497337,2.161903569648802,1.0,2.797046334227604,0.0,-1.10017716841589,2.0363417305165084,0.4671968190854871,-1.3327390987644958,0,0,Historic Loss,113958.0,597900.0,0.49101796407185627,0.0,0.07943469785575048,0.49101796407185627,59.65882167114201,23.658821671142007,62.31811339688911,-0.02382114498636917,0.0,0.10820040806729318,0,0,Historic Loss
