ProjectNum,Name,Category,District,layer,BondAmount,AmountPaid,proj_lat,proj_lon,lat_south,nearest_vendor,nearest_vendor_dist_km,nearest_vendor_total_paid,nearest_vendor_south,weighted_avg_dist_km
1013078,Kings Branch @ Genoa,Storm Drainage,04,Active Bond Program,260000.0,904281.81,32.7314029370102,-96.8073652479512,1,DALLAS ZOO MANAGEMENT INC,1.62,22341228.84,0,212.55
1013083,"Munger, 1300, 1301",Storm Drainage,"02,14",Active Bond Program,80000.0,77358.18,32.8060100660825,-96.7694117829633,0,Universal Protection Service LP,1.49,24351490.83,0,212.44
1013084,Teakwood Elmridge Drainage Relief,Storm Drainage,11,Active Bond Program,650000.0,876186.25,32.9349275524515,-96.7845227989672,0,Trinity Alliance Ventures LLC,0.37,34272683.17,0,217.02
1013087,"Royal Lane, 3162 (RL Area 7)",Storm Drainage,13,Active Bond Program,220000.0,27700.46,32.8947053861831,-96.8723962184121,0,"Satterfield & Pontikes Construction, Inc",3.87,24518222.33,0,214.55
1013089,"Alderson, 3700",Storm Drainage,14,Active Bond Program,1188000.0,190000.0,32.831519622543,-96.7550396372943,0,Universal Protection Service LP,4.17,24351490.83,0,213.54
1013090,Prairie Oak Drive 9321 (RL Area 33),Storm Drainage,05,Active Bond Program,425000.0,961515.81,32.7157999511861,-96.6604656366522,1,Good Earth Corporation,6.11,20074981.35,0,217.41
1013091,Kings Branch Culvert @ Woodin,Storm Drainage,04,Active Bond Program,212000.0,32606.93,32.7227366244732,-96.8088403553988,1,DALLAS ZOO MANAGEMENT INC,2.59,22341228.84,0,212.85
1013093,Kings Branch Culvert @ Stella,Storm Drainage,04,Active Bond Program,190000.0,863271.7,32.7277420802196,-96.8091063906211,1,DALLAS ZOO MANAGEMENT INC,2.04,22341228.84,0,212.67
1013096,"Highland Road, 2447",Erosion Control,05,Active Bond Program,195000.0,476232.38,32.7990366439928,-96.7097682228509,0,Good Earth Corporation,4.3,20074981.35,0,214.74
1013097,Kings Branch Culvert @ Louisiana,Storm Drainage,04,Active Bond Program,370000.0,38702.44,32.7239227255458,-96.8090210288174,1,DALLAS ZOO MANAGEMENT INC,2.46,22341228.84,0,212.8
1013099,Loganwood 3602,Storm Drainage,05,Active Bond Program,256000.0,1366501.88,32.7691724176527,-96.6918966582085,0,Good Earth Corporation,0.81,20074981.35,0,215.39
1013101,Hatfield Branch @ Seagoville Channel improvements,Storm Drainage,05,Active Bond Program,487000.0,400298.16,32.7094952808741,-96.660116307541,1,"MUNIZ CONSTRUCTION, INC. ^",6.64,22479352.36,1,217.54
1013102,Lake June @ St. Augustine,Storm Drainage,05,Active Bond Program,721000.0,262324.38,32.7361919510919,-96.6569537626423,1,Good Earth Corporation,4.25,20074981.35,0,217.32
1013103,Abshire Lane,Storm Drainage,07,Active Bond Program,945000.0,607312.47,32.809974203565,-96.6821261670605,0,Good Earth Corporation,4.76,20074981.35,0,216.21
1013105,Nandina - Pine Trail Area,Storm Drainage,08,Active Bond Program,910000.0,173560.76,32.660684032209,-96.7724029931745,1,Estrada Concrete Company LLC,6.56,160453200.6,1,215.58
1013106,"Hollow Ridge, 4804",Storm Drainage,07,Active Bond Program,350000.0,452512.14,32.7814313155541,-96.7103627458226,0,Good Earth Corporation,2.96,20074981.35,0,214.57
1013122,Red Bird Mall Redevelopment-Mayor,Economic Development,08,Active Bond Program,0.0,2500000.0,32.6594218357601,-96.8773488363756,1,DALLAS ZOO MANAGEMENT INC,11.66,22341228.84,0,216.13
1013124,Red Bird Mall Redevelopment-CD03,Economic Development,03,Active Bond Program,0.0,3000000.0,32.6594218357601,-96.8773488363756,1,DALLAS ZOO MANAGEMENT INC,11.66,22341228.84,0,216.13
1013125,Red Bird Mall Redevelopment-CD08,Economic Development,08,Active Bond Program,0.0,4131414.0,32.6594218357601,-96.8773488363756,1,DALLAS ZOO MANAGEMENT INC,11.66,22341228.84,0,216.13
1013148,Critical Bridges- Marsh Lane over Furneaux Creek Bridge Repair,Bridge Repair and Modification,12,Active Bond Program,0.0,11988.85,33.0060969995836,-96.8572810002215,0,"JE Dunn-Russell, a joint venture",7.16,94630687.8,0,221.45
1013149,Critical Bridges- Camp Wisdom Road over Ricketts Creek Bridge Repair,Bridge Repair and Modification,"03,08",Active Bond Program,0.0,51881.5,32.662392000109,-96.8141809998368,1,BAR CONSTRUCTORS INC ^,8.79,34543152.7,1,215.36
1016596,Park at Heritage Village,Neighborhood Park Facilities,02,Active Bond Program,0.0,683385.59,32.7731637489438,-96.7886006222657,0,"GTS Technology Solutions, Inc",1.22,19431158.73,0,211.68
1016597,Cadillac Heights Park,Community Parks,04,Active Bond Program,0.0,1169208.1,32.742066440951,-96.7876855021047,1,DALLAS ZOO MANAGEMENT INC,1.86,22341228.84,0,212.41
1017516,Hensley Field Project-CD3,,03,Active Bond Program,0.0,705112.91,32.7439254592874,-96.9626056076178,1,OMEGA CONTRACTING LLC,9.57,25376409.41,0,215.3
1017518,Redev of Shopping Ctr at 3035 N.Buckner Blvd-CD07,,07,Active Bond Program,0.0,650000.0,32.8079452317747,-96.6843090042666,0,Good Earth Corporation,4.53,20074981.35,0,216.07
1018386,Lakeland Hills Dog Park,,07,Active Bond Program,0.0,38700.72,32.8038608222678,-96.6966478155283,0,Good Earth Corporation,4.26,20074981.35,0,215.41
1018398,Forest Audelia Park and Site Development,,10,Active Bond Program,0.0,328026.86,32.9101983893497,-96.7199233657164,0,Talley Riggins Construction Group LLC,4.21,17234844.34,0,217.77
1019907,Kleberg-Rylie Library,Library Facilities,08,Active Bond Program,262000.0,63564.91,32.6864729513547,-96.6010057478791,1,"MUNIZ CONSTRUCTION, INC. ^",0.56,22479352.36,1,221.14
1019908,Lakewood Library,Design and Construction,14,Active Bond Program,262000.0,64768.24,32.810389697576,-96.753343721441,0,Universal Protection Service LP,3.06,24351490.83,0,213.09
1019909,Martin Luther King Jr. Library Building C,Library Facilities,07,Active Bond Program,262000.0,117323.19,32.770542283411,-96.7660525380658,0,"GTS Technology Solutions, Inc",1.14,19431158.73,0,212.36
1019910,Mountain Creek Library,Library Facilities,03,Active Bond Program,262000.0,88007.82,32.6505411170726,-96.9660704396755,1,TRINITY RIVER AUTHORITY OF TX,16.32,18513257.54,1,218.79
1019912,Oak Lawn Library,Library Facilities,14,Active Bond Program,262000.0,117059.79,32.8123806910044,-96.812396999975,0,"Perkins + Will, Inc.",2.56,46477520.769999996,0,211.7
1019915,Renner Frankford Library,Library Facilities,12,Active Bond Program,262000.0,103414.89,32.9977517035618,-96.7946732394053,0,"JE Dunn-Russell, a joint venture",5.74,94630687.8,0,221.14
1019949,Dallas Police Training Academy Facility,Police Facilities,99,Active Bond Program,50000000.0,369979.5,32.661683714616,-96.7927345162612,1,BAR CONSTRUCTORS INC ^,8.04,34543152.7,1,215.41
1019973,Oak Cliff Cultural Center,Cultural Arts Facilities,01,Active Bond Program,450000.0,67282.67,32.743357678632,-96.8257896562708,1,DALLAS ZOO MANAGEMENT INC,1.78,22341228.84,0,212.15
1020003,11th E 1615,Erosion Control,04,Active Bond Program,442750.0,6764.0,32.7471121587637,-96.7988345054045,0,DALLAS ZOO MANAGEMENT INC,0.77,22341228.84,0,212.1
1020005,"Claremont 8017, 8023, and 8030",Erosion Control,07,Active Bond Program,543375.0,402.31,32.7994423564437,-96.7096671114071,0,Good Earth Corporation,4.33,20074981.35,0,214.75
1020006,Coombs Creek Dr 637,Erosion Control,01,Active Bond Program,261625.0,55007.85,32.7391839309934,-96.8772056598079,1,OMEGA CONTRACTING LLC,4.89,25376409.41,0,212.97
1020008,El Cerrito 2490 & Hunnicut 8181,Erosion Control,07,Active Bond Program,805000.0,459.79,32.7997230542274,-96.7050270429145,0,Good Earth Corporation,4.13,20074981.35,0,214.96
1020009,Forston Ave 18503,Erosion Control,12,Active Bond Program,181125.0,38622.9,33.0028040577379,-96.7943882728286,0,"JE Dunn-Russell, a joint venture",6.27,94630687.8,0,221.53
1020010,Glencairn 460,Erosion Control,08,Active Bond Program,281750.0,31392.5,32.6553487970967,-96.8288678197761,1,BAR CONSTRUCTORS INC ^,8.84,34543152.7,1,215.76
1020011,Hampton N 635,Erosion Control,01,Active Bond Program,241500.0,21101.0,32.7507992577835,-96.8570899487755,0,OMEGA CONTRACTING LLC,3.81,25376409.41,0,212.28
1020013,Jefferson W 2909,Erosion Control,01,Active Bond Program,281750.0,51712.0,32.7452386657172,-96.8685072598632,0,OMEGA CONTRACTING LLC,4.2,25376409.41,0,212.63
1020014,Kiest Valley Parkway @ Kiest Knoll Outfall Protection,Erosion Control,03,Active Bond Program,264500.0,13292.0,32.7083158717744,-96.8817012113821,1,DALLAS ZOO MANAGEMENT INC,8.15,22341228.84,0,214.09
1020015,Nutwood Cir. 6402,Erosion Control,12,Active Bond Program,201250.0,39962.9,32.9903766484526,-96.7958074738128,0,"JE Dunn-Russell, a joint venture",4.95,94630687.8,0,220.56
1020016,Outfall at Compton 1203/1205,Erosion Control,04,Active Bond Program,483000.0,15027.0,32.7426702257838,-96.8068585791815,1,DALLAS ZOO MANAGEMENT INC,0.37,22341228.84,0,212.17
1020017,Ravinia S. 3338,Erosion Control,03,Active Bond Program,503125.0,2318.0,32.7020643053475,-96.869752430765,1,DALLAS ZOO MANAGEMENT INC,7.64,22341228.84,0,214.11
1020018,Sheldon Ave 3303 (Fire Station 26),Erosion Control,01,Active Bond Program,805000.0,78244.24,32.7448318891464,-96.8748327281616,1,OMEGA CONTRACTING LLC,4.25,25376409.41,0,212.76
1020354,Thurgood Marshall Park - Site Development,CDSF,03,Active Bond Program,1000000.0,113701.68,32.6839975829849,-96.8536081861411,1,DALLAS ZOO MANAGEMENT INC,8.16,22341228.84,0,214.64
1020652,Arcadia Recreation Ctr- Inter Upgrades- Safety and Security,Recreation Center,03,Active Bond Program,768670.0,26060.25,32.7430730401279,-96.9140620144198,1,OMEGA CONTRACTING LLC,5.96,25376409.41,0,213.76
1020657,Eloise Lundy Rec Cntr â¿¿ Inter Upgrds  Safety and Security,Recreation Center,04,Active Bond Program,1360431.0,43973.25,32.7560442680623,-96.806295708767,0,DALLAS ZOO MANAGEMENT INC,1.12,22341228.84,0,211.79
1020658,"Exall Park Rec Cntr - Demo (New); Splash Pad, Sr Ctr",Recreation Center,14,Active Bond Program,17660000.0,387131.4,32.7932433305361,-96.7850789855651,0,Universal Protection Service LP,1.17,24351490.83,0,211.76
1020660,John C. Phelps Rec Ctr- Inter Upgrades- Safety and Security,Recreation Center,04,Active Bond Program,1154555.0,118845.73,32.7226125478892,-96.7726162568906,1,DALLAS ZOO MANAGEMENT INC,4.14,22341228.84,0,213.26
1020662,Kiest Rec Ctr- Inter Upgrades- Safety and Security,Recreation Center,04,Active Bond Program,1873306.0,189800.57,32.7100244026504,-96.8528151851954,1,DALLAS ZOO MANAGEMENT INC,5.86,22341228.84,0,213.55
