GEOID,NAMELSAD,population,median_income,pct_black,pct_hispanic,pct_nonwhite,pct_renter,rent_burden_pct,south_of_i30,tif_present,oz_designated,redline_legacy,in_pid,pid_name,pid_north,pid_south,bates_typology,bates_vulnerable,bates_vuln_zscore,market_cat,demo_change,hmda_denials_total,hmda_denials_black,hmda_denial_rate,hmda_black_denial_share,dpi,risk_tier,vendor_share_5mi
48113015304,Census Tract 153.04,4353,62553.0,0.6,89.6,90.2,8.6,4.8,0,0,0,0.5,0,,0,0,Stable,0,-0.5411466866286531,Adjacent,0,14.0,0.0,0.5384615384615384,0.0,28.79096746619919,Moderate,0.0283779731482009
48113016406,Census Tract 164.06,4346,57338.0,17.8,62.6,80.4,47.2,23.2,1,0,0,0.5,0,,0,0,Stable,0,0.5700836373090251,Adjacent,0,20.0,1.0,0.32786885245901637,0.05,29.0080222031728,Moderate,0.0038089811009542
48113018205,Census Tract 182.05,4021,58459.0,5.1,70.3,75.4,60.4,23.4,0,0,0,0.5,0,,0,0,Stable,0,0.09037762280056763,Adjacent,0,11.0,1.0,0.2972972972972973,0.09090909090909091,28.154010437085088,Moderate,0.0051814538240063
48113011500,Census Tract 115,4641,28040.0,41.9,57.0,98.9,72.6,27.8,1,0,1,1.0,0,,0,0,Late,1,1.0300960067714553,Sustained,1,10.0,5.0,0.2857142857142857,0.5,57.22882971685501,High,0.0583199301440602
48113005902,Census Tract 59.02,4992,37226.0,71.7,26.1,97.8,65.4,26.8,1,0,0,1.0,0,,0,0,Stable,1,0.9412880203068246,Low,0,12.0,5.0,0.2553191489361702,0.4166666666666667,56.93123330001137,High,0.0016822527375274
48113007601,Census Tract 76.01,1976,200583.0,0.0,10.0,10.0,21.2,5.7,0,0,0,0.5,0,,0,0,Stable,0,-1.1226343196868789,Sustained,0,13.0,1.0,0.21666666666666667,0.07692307692307693,14.849018694489308,Low,0.1550152813246478
48113007604,Census Tract 76.04,2882,,0.0,6.8,6.8,0.8,100.0,0,0,0,0.5,0,,0,0,Stable,0,0.8171478526248064,Adjacent,0,18.0,1.0,0.22784810126582278,0.05555555555555555,24.19,Low,0.1213756596852838
48113007605,Census Tract 76.05,1614,211023.0,0.0,5.6,5.6,4.1,16.1,0,0,0,0.5,0,,0,0,Stable,0,-1.1337302656847608,Sustained,0,13.0,0.0,0.23636363636363636,0.0,15.170909115581452,Low,0.1204343329265785
48113007801,Census Tract 78.01,2517,93972.0,2.4,1.8,4.2,41.1,27.7,0,0,0,0.0,0,,0,0,Stable,0,-0.6303912796039789,Accelerating,0,7.0,0.0,0.16666666666666666,0.0,3.645137690365294,Low,0.0881835902213543
48113007805,Census Tract 78.05,2484,70270.0,16.0,28.5,44.5,49.8,26.3,0,0,0,0.5,0,,0,0,Stable,0,-0.2242147332874871,Adjacent,0,24.0,3.0,0.2553191489361702,0.125,23.05088646807353,Low,0.1066032798725659
48113004700,Census Tract 47,2560,82917.0,4.1,70.3,74.4,64.1,16.1,1,1,0,0.5,0,,0,0,Stable,0,-0.009598863865448087,Sustained,0,4.0,0.0,0.2222222222222222,0.0,43.21225372435249,Moderate,0.1716450049778937
48113004800,Census Tract 48,2486,51406.0,0.0,94.6,94.6,68.1,25.0,1,1,0,0.5,0,,0,0,Late,1,0.9061088539886601,Sustained,1,2.0,0.0,0.25,0.0,47.68208446582427,Moderate,0.1709804931840483
48113005000,Census Tract 50,3018,51330.0,2.6,87.8,90.4,27.2,40.7,1,0,0,0.5,0,,0,0,Susceptible,1,0.7804041840864726,Adjacent,0,13.0,0.0,0.5416666666666666,0.0,32.59558526352513,Moderate,0.1562511374808128
48113005100,Census Tract 51,2620,64421.0,1.2,83.1,84.3,22.3,16.5,1,0,0,0.67,0,,0,0,Stable,0,-0.2771835285781168,Adjacent,0,11.0,2.0,0.4583333333333333,0.18181818181818182,33.23694785955169,Moderate,0.1562511374808128
48113005200,Census Tract 52,4159,86853.0,9.5,59.5,69.0,22.4,6.2,1,0,0,0.33,0,,0,0,Stable,0,-0.5847225138484482,Adjacent,0,26.0,2.0,0.3466666666666667,0.07692307692307693,20.977712411844703,Low,0.1509370691973802
48113002500,Census Tract 25,4869,45167.0,24.3,68.8,93.1,55.1,23.7,0,0,0,0.5,0,,0,0,Stable,0,0.7585681839169852,Adjacent,0,18.0,4.0,0.3829787234042553,0.2222222222222222,31.283149950767385,Moderate,0.1395019573837054
48113019019,Census Tract 190.19,7655,45809.0,50.7,33.0,83.7,72.0,35.7,0,0,0,0.5,0,,0,0,Stable,1,1.0244689672196217,Low,0,23.0,8.0,0.3709677419354839,0.34782608695652173,30.898143212294315,Moderate,0.0512921566673955
48113005400,Census Tract 54,4652,47047.0,17.8,61.8,79.6,17.7,17.1,1,0,0,0.67,0,,0,0,Stable,0,0.20503990053724613,Adjacent,0,33.0,6.0,0.4583333333333333,0.18181818181818182,34.43763021816712,Moderate,0.1550773884972819
48113005500,Census Tract 55,3456,64893.0,52.1,43.2,95.3,28.8,14.9,1,0,0,1.0,0,,0,0,Stable,0,-0.15119449125051762,Adjacent,0,23.0,14.0,0.32857142857142857,0.6086956521739131,43.2439429054095,Moderate,0.1235823084080453
48113005300,Census Tract 53,5919,68424.0,0.7,77.5,78.2,21.7,22.4,1,1,0,0.67,0,,0,0,Stable,0,-0.23649170267091468,Sustained,0,43.0,4.0,0.4574468085106383,0.09302325581395349,48.788905843807626,Moderate,0.0622789387967375
48113005600,Census Tract 56,7309,58058.0,17.0,79.6,96.6,42.4,19.7,1,0,0,1.0,0,,0,0,Stable,0,0.05882939550646232,Low,0,16.0,1.0,0.3018867924528302,0.0625,43.975514646006744,Moderate,0.0583558191020835
48113013624,Census Tract 136.24,4004,80536.0,33.8,14.5,48.3,86.6,18.7,0,0,0,0.5,0,,0,0,Stable,0,-0.0008116748296249088,Low,0,10.0,0.0,0.3448275862068966,0.0,22.917778715480804,Low,0.1390603580342984
48113005700,Census Tract 57,5403,36724.0,42.7,58.4,100.0,39.5,24.8,1,0,0,0.5,0,,0,0,Stable,0,0.702946157822562,Low,0,26.0,8.0,0.26,0.3076923076923077,32.6062385690355,Moderate,0.0310446983384868
48113007815,Census Tract 78.15,4924,40316.0,29.3,23.8,53.1,86.8,19.2,0,1,0,0.5,1,Midtown PID-Premium,1,0,Stable,0,0.604812961774297,Sustained,0,19.0,8.0,0.34545454545454546,0.42105263157894735,39.81070086717371,Moderate,0.0405219550721153
48113007819,Census Tract 78.19,2375,46418.0,18.7,51.5,70.2,91.0,23.7,0,1,0,0.5,1,Midtown PID-Premium,1,0,Stable,0,0.8675079611540242,Sustained,0,5.0,0.0,0.625,0.0,43.275636820191366,Moderate,0.0255679781910621
48113007902,Census Tract 79.02,4788,102257.0,4.0,8.0,12.0,32.0,32.4,0,1,0,0.33,0,,0,0,Stable,0,-0.5611484786687749,Sustained,0,19.0,0.0,0.13970588235294118,0.0,29.753550730475297,Moderate,0.0248277481993884
48113002200,Census Tract 22,2918,77813.0,28.1,14.2,42.3,75.4,21.9,0,1,0,1.0,0,,0,0,Historic Loss,0,-0.09645280973230941,Sustained,1,9.0,1.0,0.2647058823529412,0.1111111111111111,50.703807296263,High,0.1775604290291245
48113002400,Census Tract 24,3028,49821.0,4.8,83.1,87.9,54.8,37.2,0,0,0,0.33,0,,0,0,Susceptible,1,0.9380057667739805,Adjacent,0,12.0,0.0,0.3076923076923077,0.0,27.540601102085667,Moderate,0.1528513995263991
48113008000,Census Tract 80,7522,,0.2,6.0,6.2,5.2,0.0,0,1,0,0.33,0,,0,0,Stable,0,-0.8373647354841203,Sustained,0,41.0,0.0,0.19523809523809524,0.0,27.115,Moderate,0.0243237537164115
48113008200,Census Tract 82,4186,80556.0,15.5,33.1,48.6,46.5,8.9,0,0,0,0.5,0,,0,0,Stable,0,-0.5102628763800838,Adjacent,0,19.0,1.0,0.24050632911392406,0.05263157894736842,21.941278505559524,Low,0.016271912819559
48113011401,Census Tract 114.01,6111,36888.0,78.1,14.6,92.7,57.3,26.4,1,0,0,0.5,0,,0,0,Stable,0,0.8196284096746025,Low,0,30.0,13.0,0.26548672566371684,0.43333333333333335,31.496736847681,Moderate,0.0955281835727475
48113008802,Census Tract 88.02,5494,32480.0,64.2,30.1,94.3,41.0,28.7,1,0,0,1.0,0,,0,0,Stable,0,0.7315700204088583,Low,0,25.0,10.0,0.2840909090909091,0.4,44.518283114330984,Moderate,0.0586560314661315
48113009603,Census Tract 96.03,5041,152188.0,1.4,21.7,23.1,23.5,14.8,0,0,0,0.5,0,,0,0,Stable,0,-0.8339465756606965,Sustained,0,36.0,3.0,0.2647058823529412,0.08333333333333333,18.097526651505174,Low,0.1404992191700519
48113009604,Census Tract 96.04,3781,47083.0,11.5,14.9,26.4,33.5,56.4,0,0,0,0.5,0,,0,0,Stable,0,0.5366913270419111,Adjacent,0,28.0,1.0,0.35443037974683544,0.03571428571428571,23.04412984030882,Low,0.1375758112052174
48113009605,Census Tract 96.05,3247,77585.0,11.4,70.0,81.4,64.0,10.3,0,0,0,0.5,0,,0,0,Stable,0,-0.046737717968407616,Adjacent,0,4.0,0.0,0.15384615384615385,0.0,27.828309689365582,Moderate,0.1366863353385114
48113009607,Census Tract 96.07,3727,135000.0,1.1,34.4,35.5,15.6,19.8,0,0,0,0.5,0,,0,0,Stable,0,-0.708793614392877,Accelerating,0,42.0,4.0,0.35,0.09523809523809523,20.7927070578527,Low,0.1068996402039057
48113009608,Census Tract 96.08,2907,123958.0,4.5,20.1,24.6,8.6,43.8,0,0,0,0.5,0,,0,0,Stable,0,-0.46027559978235444,Accelerating,0,19.0,0.0,0.23170731707317074,0.0,21.405322955391064,Low,0.1404992191700519
48113009609,Census Tract 96.09,3183,190670.0,0.6,5.8,6.4,7.1,15.5,0,0,0,0.5,0,,0,0,Stable,0,-1.1108748641447976,Sustained,0,29.0,1.0,0.2761904761904762,0.034482758620689655,15.248122741971448,Low,0.1384117396624885
48113009611,Census Tract 96.11,3538,83270.0,4.9,58.3,63.2,16.9,9.1,0,0,0,0.5,0,,0,0,Stable,0,-0.634378982664709,Adjacent,0,32.0,7.0,0.43243243243243246,0.21875,24.51725001924191,Low,0.1068907654541334
48113009702,Census Tract 97.02,3219,164547.0,0.6,25.9,26.5,15.5,18.0,0,0,0,0.5,0,,0,0,Stable,0,-0.819213956952983,Sustained,0,26.0,1.0,0.24299065420560748,0.038461538461538464,19.02839693065056,Low,0.1227937469138492
48113009202,Census Tract 92.02,5453,48497.0,19.9,74.5,94.4,40.9,16.3,1,0,0,0.5,0,,0,0,Stable,0,0.5223624977380025,Low,0,27.0,1.0,0.39705882352941174,0.037037037037037035,30.733614998874366,Moderate,0.0053042711101337
48113009301,Census Tract 93.01,5267,64255.0,9.5,83.1,92.6,28.6,14.4,1,0,0,0.5,0,,0,0,Stable,0,-0.18511564075791304,Adjacent,0,13.0,2.0,0.5652173913043478,0.15384615384615385,30.21894960189831,Moderate,0.0106183393935664
48113009304,Census Tract 93.04,9059,33786.0,59.4,35.6,95.0,82.6,28.4,1,0,0,0.5,0,,0,0,Stable,1,1.092374497180345,Low,0,10.0,4.0,0.3333333333333333,0.4,32.109269406471434,Moderate,0.0106183393935664
48113008500,Census Tract 85,3637,52423.0,8.1,73.7,81.8,30.2,32.4,0,0,0,0.5,0,,0,0,Susceptible,1,0.5906351113931705,Adjacent,0,12.0,1.0,0.3333333333333333,0.08333333333333333,30.21907379132721,Moderate,0.0190773101471059
