GEOID,total_applications,total_denials,denial_rate,black_applications,black_denials,black_denial_rate,white_applications,white_denials,white_denial_rate,disparity_ratio_bw
48113010101,107.0,13.0,0.12149532710280374,18.0,0.0,0.0,42.0,6.0,0.14285714285714285,0.0
48113010102,64.0,9.0,0.140625,8.0,3.0,,35.0,4.0,0.11428571428571428,
48113010500,56.0,7.0,0.125,13.0,5.0,0.38461538461538464,30.0,2.0,0.06666666666666667,5.76923076923077
48113010601,45.0,7.0,0.15555555555555556,4.0,1.0,,24.0,2.0,0.08333333333333333,
48113010602,16.0,3.0,0.1875,0.0,0.0,,10.0,2.0,0.2,
48113010701,12.0,3.0,0.25,0.0,0.0,,9.0,1.0,,
48113010704,25.0,2.0,0.08,1.0,0.0,,18.0,2.0,0.1111111111111111,
48113010804,9.0,0.0,0.0,0.0,0.0,,7.0,0.0,,
48113010805,25.0,2.0,0.08,1.0,0.0,,16.0,1.0,0.0625,
48113010806,66.0,6.0,0.09090909090909091,3.0,0.0,,43.0,4.0,0.09302325581395349,
48113010807,32.0,3.0,0.09375,6.0,1.0,,20.0,2.0,0.1,
48113010808,10.0,0.0,0.0,2.0,0.0,,4.0,0.0,,
48113010809,19.0,2.0,0.10526315789473684,0.0,0.0,,16.0,1.0,0.0625,
48113010903,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,,
48113010904,16.0,8.0,0.5,8.0,6.0,,3.0,0.0,,
48113010906,26.0,3.0,0.11538461538461539,9.0,1.0,,11.0,1.0,0.09090909090909091,
48113011002,63.0,8.0,0.12698412698412698,9.0,1.0,,32.0,3.0,0.09375,
48113011003,49.0,5.0,0.10204081632653061,12.0,3.0,0.25,20.0,1.0,0.05,5.0
48113011004,17.0,2.0,0.11764705882352941,1.0,1.0,,12.0,1.0,0.08333333333333333,
48113011101,55.0,8.0,0.14545454545454545,16.0,3.0,0.1875,23.0,2.0,0.08695652173913043,2.15625
48113011103,36.0,14.0,0.3888888888888889,6.0,2.0,,18.0,4.0,0.2222222222222222,
48113011104,29.0,4.0,0.13793103448275862,5.0,2.0,,14.0,0.0,0.0,
48113011105,17.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,
48113011201,49.0,9.0,0.1836734693877551,10.0,1.0,0.1,21.0,4.0,0.19047619047619047,0.525
48113011202,36.0,8.0,0.2222222222222222,12.0,4.0,0.3333333333333333,12.0,2.0,0.16666666666666666,2.0
48113011300,68.0,11.0,0.16176470588235295,8.0,3.0,,37.0,4.0,0.10810810810810811,
48113011401,80.0,8.0,0.1,17.0,1.0,0.058823529411764705,24.0,0.0,0.0,
