GEOID,population,median_income,pct_black,pct_hispanic,pct_nonwhite,south_of_i30,vendor_cap_5mi,vendor_cap_15mi,vendor_share_5mi,vendor_share_15mi
48113019019,7655,45809,50.7,33.0,83.7,0,74948363.06,594179073.89,0.05129215666739557,0.4066363146858285
48113005400,4652,47047,17.8,61.8,79.6,1,226599877.45999998,745672152.53,0.15507738849728198,0.5103131183727663
48113005500,3456,64893,52.1,43.2,95.3,1,180579104.48999998,747590201.1500001,0.12358230840804535,0.5116257667922384
48113005300,5919,68424,0.7,77.5,78.2,1,91002305.6,769774852.31,0.06227893879673759,0.5268082011570727
48113005600,7309,58058,17.0,79.6,96.6,1,85269822.92999998,643688688.45,0.058355819102083505,0.44051904144426257
48113013624,4004,80536,33.8,14.5,48.3,0,203195710.19,739683464.53,0.13906035803429842,0.5062146603066142
48113005700,5403,36724,42.7,58.4,100.0,1,45362672.84,601557115.62,0.031044698338486835,0.41168560004528043
48113007815,4924,40316,29.3,23.8,53.1,0,59210889.110000014,691585720.66,0.04052195507211531,0.47329817069691693
48113007819,2375,46418,18.7,51.5,70.2,0,37360061.2,691585720.66,0.02556797819106213,0.47329817069691693
48113007902,4788,102257,4.0,8.0,12.0,0,36278433.33,848255773.93,0.024827748199388426,0.5805179229279411
48113002200,2918,77813,28.1,14.2,42.3,0,259452211.89,853578621.3599999,0.17756042902912456,0.5841607019447108
48113002400,3028,49821,4.8,83.1,87.89999999999999,0,223347250.93,859500619.6600001,0.1528513995263991,0.5882135198073837
48113008000,7522,250001,0.2,6.0,6.2,0,35541994.00000001,848569102.0799999,0.024323753716411503,0.5807323542497466
48113008200,4186,80556,15.5,33.1,48.6,0,23776602.680000003,744215804.86,0.016271912819559017,0.5093164426642917
48113011401,6111,36888,78.1,14.6,92.7,1,139586273.03,552827038.68,0.09552818357274756,0.37833636280016847
48113008802,5494,32480,64.2,30.1,94.3,1,85708494.77999999,606826338.07,0.05865603146613159,0.41529167991662325
48113009603,5041,152188,1.4,21.7,23.1,0,205298181.48000002,755653468.54,0.14049921917005198,0.5171439977092749
48113009604,3781,47083,11.5,14.9,26.4,0,201026482.73000002,727365941.8000001,0.13757581120521742,0.49778495911199866
48113009605,3247,77585,11.4,70.0,81.4,0,199726776.02,745172339.3100001,0.13668633533851146,0.5099710628969962
48113009607,3727,135000,1.1,34.4,35.5,0,156202303.93,756446817.1399999,0.10689964020390573,0.517686938996071
