GEOID,NAMELSAD,bates_typology_v21,south_of_i30,population,pop_2023,median_income,pct_black,pct_renter,tif_present,oz_designated,redline_legacy,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_all_units,hud_hcv_units,hud_pubhsg_units,hud_pbs8_units,hca_count,org_count,org_names,nez_present,nez_overlap_frac,affordable_units_count,affordable_units_per_1k,norm_affordable,norm_orgs,norm_nez,readiness_score,high_pressure,high_readiness,risk_readiness_cell,council_district
48113005902,Census Tract 59.02,Susceptible,1,4992,4992.0,37226.0,71.7,65.4,0,0,1.0,0.0,0.0,0.0,,25,25,0,0,0.0,0.0,,False,0.0,25.0,5.008012820512821,0.06190865738247337,0.0,0.0,0.030954328691236686,True,True,HIGH_PRESSURE_HIGH_READINESS,4
48113007601,Census Tract 76.01,Historic Loss,0,1976,1976.0,200583.0,0.0,21.2,0,0,0.5,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,13
48113007604,Census Tract 76.04,Stable,0,2882,2882.0,,0.0,0.8,0,0,0.5,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,13
48113007605,Census Tract 76.05,Historic Loss,0,1614,1614.0,211023.0,0.0,4.1,0,0,0.5,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,13
48113007801,Census Tract 78.01,Historic Loss,0,2517,2517.0,93972.0,2.4,41.1,0,0,0.0,0.0,0.0,0.0,,4,4,0,0,0.0,0.0,,False,0.0,4.0,1.5891934843067144,0.019645483839701678,0.0,0.0,0.009822741919850839,False,False,LOW_PRESSURE_LOW_READINESS,13
48113007805,Census Tract 78.05,Stable,0,2484,2484.0,70270.0,16.0,49.8,0,0,0.5,0.0,0.0,0.0,,254,3,0,251,0.0,0.0,,True,0.7150020576197795,254.0,102.25442834138487,1.0,0.0,0.7150020576197795,0.6430004115239559,False,True,LOW_PRESSURE_HIGH_READINESS,10
48113004700,Census Tract 47,Historic Loss,1,2560,2560.0,82917.0,4.1,64.1,1,0,0.5,0.0,0.0,0.0,,2,2,0,0,0.0,0.0,,False,0.0,2.0,0.78125,0.009657750551665845,0.0,0.0,0.004828875275832922,False,False,LOW_PRESSURE_LOW_READINESS,1
48113004800,Census Tract 48,Late,1,2486,2486.0,51406.0,0.0,68.1,1,0,0.5,0.0,0.0,0.0,,4,4,0,0,0.0,0.0,,False,0.0,4.0,1.6090104585679805,0.019890459704154914,0.0,0.0,0.009945229852077457,True,False,HIGH_PRESSURE_LOW_READINESS,1
48113005000,Census Tract 50,Early: Type 2,1,3018,3018.0,51330.0,2.6,27.2,0,0,0.5,0.0,0.0,0.0,,179,111,0,0,0.0,0.0,,False,0.0,179.0,59.31080185553347,0.7331954295552281,0.0,0.0,0.36659771477761405,True,True,HIGH_PRESSURE_HIGH_READINESS,1
48113005100,Census Tract 51,Stable,1,2620,2620.0,64421.0,1.2,22.3,0,0,0.67,0.0,0.0,0.0,,1,1,0,0,0.0,0.0,,False,0.0,1.0,0.38167938931297707,0.004718290345852015,0.0,0.0,0.0023591451729260077,False,False,LOW_PRESSURE_LOW_READINESS,1
48113005200,Census Tract 52,Stable,1,4159,4159.0,86853.0,9.5,22.4,0,0,0.33,0.0,0.0,0.0,,4,4,0,0,0.0,0.0,,False,0.0,4.0,0.9617696561673479,0.011889320227104863,0.0,0.0,0.005944660113552431,False,False,LOW_PRESSURE_LOW_READINESS,1
48113002500,Census Tract 25,Susceptible,0,4869,4869.0,45167.0,24.3,55.1,0,0,0.5,1.0,150.0,150.0,2010.0,200,194,0,0,0.0,0.0,,False,0.0,200.0,41.07619634421852,0.5077806821167501,0.0,0.0,0.25389034105837505,True,True,HIGH_PRESSURE_HIGH_READINESS,2
