GEOID,tract_name,in_pid,pid_name,pid_annual_budget,pid_per_capita
48113014203,Census Tract 142.03,False,,,
48113014204,Census Tract 142.04,False,,,
48113014205,Census Tract 142.05,False,,,
48113014207,Census Tract 142.07,False,,,
48113014208,Census Tract 142.08,False,,,
48113014209,Census Tract 142.09,False,,,
48113014306,Census Tract 143.06,False,,,
48113014308,Census Tract 143.08,False,,,
48113014309,Census Tract 143.09,False,,,
48113014310,Census Tract 143.10,False,,,
48113014313,Census Tract 143.13,False,,,
48113014314,Census Tract 143.14,False,,,
48113014315,Census Tract 143.15,False,,,
48113014316,Census Tract 143.16,False,,,
48113014317,Census Tract 143.17,False,,,
48113014318,Census Tract 143.18,False,,,
48113014319,Census Tract 143.19,False,,,
48113014320,Census Tract 143.20,False,,,
48113014405,Census Tract 144.05,False,,,
48113014406,Census Tract 144.06,False,,,
48113014407,Census Tract 144.07,False,,,
48113014408,Census Tract 144.08,False,,,
48113014409,Census Tract 144.09,False,,,
48113014410,Census Tract 144.10,False,,,
48113014501,Census Tract 145.01,False,,,
48113014502,Census Tract 145.02,False,,,
48113014601,Census Tract 146.01,False,,,
48113014602,Census Tract 146.02,False,,,
48113014603,Census Tract 146.03,False,,,
48113014701,Census Tract 147.01,False,,,
48113014704,Census Tract 147.04,False,,,
48113014903,Census Tract 149.03,False,,,
48113015001,Census Tract 150.01,False,,,
48113015002,Census Tract 150.02,False,,,
48113015101,Census Tract 151.01,False,,,
48113015102,Census Tract 151.02,False,,,
48113015202,Census Tract 152.02,False,,,
48113015205,Census Tract 152.05,False,,,
48113015206,Census Tract 152.06,False,,,
48113015207,Census Tract 152.07,False,,,
48113015208,Census Tract 152.08,False,,,
48113015303,Census Tract 153.03,False,,,
48113015304,Census Tract 153.04,False,,,
48113015305,Census Tract 153.05,False,,,
48113015306,Census Tract 153.06,False,,,
48113015403,Census Tract 154.03,False,,,
48113015404,Census Tract 154.04,False,,,
48113015405,Census Tract 154.05,False,,,
48113015406,Census Tract 154.06,False,,,
48113015500,Census Tract 155,False,,,
48113015600,Census Tract 156,False,,,
48113015700,Census Tract 157,False,,,
48113015900,Census Tract 159,False,,,
48113016001,Census Tract 160.01,False,,,
48113016002,Census Tract 160.02,False,,,
48113016100,Census Tract 161,False,,,
48113016201,Census Tract 162.01,False,,,
48113016203,Census Tract 162.03,False,,,
48113016204,Census Tract 162.04,False,,,
48113016301,Census Tract 163.01,False,,,
48113016302,Census Tract 163.02,False,,,
48113016406,Census Tract 164.06,False,,,
48113016407,Census Tract 164.07,False,,,
48113016409,Census Tract 164.09,False,,,
48113016410,Census Tract 164.10,False,,,
48113016412,Census Tract 164.12,False,,,
48113016414,Census Tract 164.14,False,,,
48113016415,Census Tract 164.15,False,,,
48113016416,Census Tract 164.16,False,,,
48113016417,Census Tract 164.17,False,,,
48113016418,Census Tract 164.18,False,,,
48113016419,Census Tract 164.19,False,,,
48113016420,Census Tract 164.20,False,,,
48113016421,Census Tract 164.21,False,,,
48113016511,Census Tract 165.11,False,,,
48113016513,Census Tract 165.13,False,,,
48113016516,Census Tract 165.16,False,,,
