code_str,202/PRAC,811/PRAC,Housing Choice Vouchers,Mod Rehab,Project Based Section 8,Public Housing,Summary of All HUD Programs
48113017900,0,0,21,0,0,0,21
48113018001,0,0,64,0,0,0,64
48113018002,0,0,14,0,0,0,14
48113018105,0,0,67,0,0,0,67
48113018110,0,0,6,0,0,0,6
48113018111,0,0,146,0,0,0,146
48113018120,0,0,19,0,0,0,19
48113018121,0,0,63,0,0,0,63
48113018126,0,0,56,0,0,0,56
48113018127,0,0,8,0,0,0,8
48113018128,0,0,96,0,0,0,96
48113018129,0,0,4,0,0,0,4
48113018130,0,0,146,0,0,0,146
48113018132,0,0,17,0,0,0,17
48113018133,0,0,61,0,0,0,61
48113018134,0,0,152,0,0,0,152
48113018135,0,0,95,0,0,0,95
48113018137,0,0,65,0,0,0,65
48113018138,39,0,78,0,39,0,156
48113018140,0,0,87,0,0,0,87
48113018141,0,0,232,0,0,0,232
48113018142,0,0,44,0,0,0,44
48113018143,0,0,58,0,0,0,58
48113018144,0,0,66,0,0,0,66
48113018145,0,0,19,0,0,0,19
48113018146,0,0,19,0,0,0,19
48113018147,0,0,6,0,0,0,6
48113018148,0,0,24,0,0,0,24
48113018149,0,0,54,0,0,0,54
48113018150,0,0,72,0,0,0,72
48113018151,0,0,8,0,0,0,8
48113018152,0,0,17,0,0,0,17
48113018153,0,0,20,0,0,0,20
48113018154,0,0,15,0,0,0,15
48113018155,0,0,7,0,0,0,7
48113018156,0,0,90,0,0,0,90
48113018157,0,0,42,0,0,0,42
48113018158,0,0,62,0,0,0,62
48113018159,0,0,1,0,0,0,1
48113018203,0,0,22,0,0,0,22
48113018204,0,0,9,0,0,0,9
48113018205,0,0,7,0,0,0,7
48113018206,55,0,7,0,0,0,62
48113018300,0,0,7,0,0,0,7
48113018401,0,0,13,0,0,0,13
48113018402,0,0,7,0,0,0,7
48113018403,0,0,0,0,0,0,0
48113018501,0,0,6,0,0,0,6
48113018505,0,0,32,0,0,0,32
48113018506,0,0,0,0,0,0,0
48113018507,0,0,27,0,0,0,27
48113018508,0,0,19,0,0,0,19
48113018600,0,0,0,0,0,0,0
48113018700,0,0,35,0,0,0,35
48113018801,0,0,13,0,0,0,13
48113018802,0,0,145,0,0,0,145
48113018900,39,0,24,0,0,0,63
48113019013,0,0,83,0,98,0,181
48113019016,0,0,10,0,0,0,10
48113019018,0,2,81,0,0,0,84
48113019019,0,0,42,0,167,1,210
48113019020,0,0,27,0,0,0,27
48113019023,0,0,17,0,0,0,17
