gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,Quarter,code_str,total_units_num
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019034,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019034,48113019034,63,76,51,100,5,6,1.6,81,337,1591,13211,8318,15,13,44,8,21,24,-1,69,17,100,86,2,20,69,22,31,74,33,-1,29,33,37,2,86,69,-1,14,14,-1,4,-1,4,0,17,167,98,138,65,27,8,14,15,82,12,,19100,19000,,,TX,,,2023-12-31,48113019034,63
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019035,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019035,48113019035,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113019035,2
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019035,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019035,48113019035,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,19000,,,TX,,,2023-12-31,48113019035,2
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019036,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019036,48113019036,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,61796,,,TX,,,2023-12-31,48113019036,6
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019036,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019036,48113019036,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,61796,,,TX,,,2023-12-31,48113019036,6
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019037,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019037,48113019037,62,94,60,100,6,15,1.8,105,408,534,16166,9238,8,7,57,7,22,12,-1,88,20,95,85,3,8,63,8,36,4,10,-1,17,2,82,20,95,23,-1,70,5,2,-1,-1,2,0,-1,101,100,124,80,-1,20,5,4,45,95,,19100,61796,,,TX,,,2023-12-31,48113019037,62
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019037,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019037,48113019037,14,78,12,100,4,-1,3.8,46,939,1513,34364,8964,-1,-1,17,8,75,58,-1,42,34,75,50,17,42,75,42,30,100,20,-1,83,-1,17,-1,92,83,-1,-1,8,8,-1,-1,8,0,-1,118,100,380,-1,-1,100,25,4,45,95,,19100,61796,,,TX,,,2023-12-31,48113019037,14
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019037,7,202/PRAC,8,,TX Texas Dallas County 019037,48113019037,48,99,48,100,7,19,1.2,59,276,305,11617,9451,10,8,67,6,8,-1,-1,100,16,100,94,-1,-1,60,-1,100,-1,2,-1,-1,2,98,25,96,8,-1,88,4,-1,-1,-1,0,0,-1,97,100,60,100,-1,-1,-1,4,45,95,,19100,61796,,,TX,,,2023-12-31,48113019037,48
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019039,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019039,48113019039,54,74,43,100,4,7,3.7,158,624,1585,24270,6605,21,-1,15,10,54,63,-1,28,24,88,63,23,65,74,65,12,100,8,5,77,14,5,-1,84,81,-1,2,16,-1,-1,-1,0,2,18,97,98,367,2,49,49,12,12,57,74,,19100,61796,,,TX,,,2023-12-31,48113019039,54
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019039,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019039,48113019039,54,74,43,100,4,7,3.7,158,624,1585,24270,6605,21,-1,15,10,54,63,-1,28,24,88,63,23,65,74,65,12,100,8,5,77,14,5,-1,84,81,-1,2,16,-1,-1,-1,0,2,18,97,98,367,2,49,49,12,12,57,74,,19100,61796,,,TX,,,2023-12-31,48113019039,54
