hud_id,project,proj_add,proj_cty,proj_st,proj_zip,state_id,latitude,longitude,place1990,place2000,place2010,place2020,fips1990,fips2000,fips2010,fips2020,st2020,cnty2020,scattered_site_cd,resyndication_cd,allocamt,n_units,li_units,n_0br,n_1br,n_2br,n_3br,n_4br,aff_period,aff_yrs,inc_ceil,low_ceil,ceilunit,yr_pis,yr_alloc,non_prof,basis,bond,mff_ra,fmha_514,fmha_515,fmha_538,home,home_amt,tcap,tcap_amt,cdbg,cdbg_amt,htf,htf_amt,fha,hopevi,hpvi_amt,tcep,tcep_amt,rad,qozf,qozf_amt,rentassist,trgt_pop,trgt_fam,trgt_eld,trgt_dis,trgt_hml,trgt_other,trgt_spc,type,credit,n_unitsr,li_unitr,metro,dda,qct,nonprog,nlm_reason,nlm_spc,datanote,record_stat
TXA0000X892,TORRINGTON ARCADIA TRAILS,NEQ OF MERCURY ROAD AND S. BELTLINE ROAD,BALCH SPRINGS,TX,75181,TX5842,32.7499,-96.5553,,,47892.0,47892.0,48XXXXXXXXX,48XXXXXXXXX,48113017304,48113017310,48,113,2.0,2.0,,250.0,250.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,125.0,9999,2022,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,250.0,250.0,,,,,,,,X
TXA0000X897,CROSSING AT CLEAR CREEK,NEC OF HWY 175 AND WOODY RD,DALLAS,TX,75253,TX5942,32.6904,-96.6079,,,5372.0,5372.0,48XXXXXXXXX,48XXXXXXXXX,48113017101,48113017101,48,113,2.0,2.0,,264.0,264.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,,9999,2023,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,264.0,264.0,,,,,,,,X
TXA0000X904,TERRACE AT HIGHLAND HILLS,3100 PERSIMMON RD,DALLAS,TX,75241,TX5941,32.676183,-96.769726,,,19000.0,19000.0,48XXXXXXXXX,48XXXXXXXXX,48113011401,48113011401,48,113,2.0,2.0,,300.0,300.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,,9999,2023,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,300.0,300.0,,,,,,,,X
TXA19900105,AUTUMN CREEK,10765 E NW HWY,DALLAS,TX,75238,TX0906,32.86445,-96.698339,1085.0,19000.0,19000.0,19000.0,48113013007,48113013007,48113013007,48113013007,48,113,2.0,,,82.0,82.0,0.0,38.0,40.0,4.0,0.0,,,,,,1990,1990,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,82.0,82.0,1.0,0.0,2.0,,,,,X
TXA19910090,LAKEWOOD GARDENS,5909 GASTON AVE,DALLAS,TX,75214,TX2305,32.809894,-96.757825,1085.0,19000.0,19000.0,19000.0,48113001400,48113001400,48113001400,48113001400,48,113,2.0,,,45.0,,,,,,,,,,,,1991,1991,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,45.0,45.0,1.0,0.0,2.0,,,,PREVIOUSLY LISTED AS TXA0000369. AKA BORA BORA APTS. FKA BORA BORA,X
TXA19910275,LAKE COLONY APTS,4605 CHAHA RD,GARLAND,TX,75043,TX1053,32.860485,-96.539325,1580.0,19000.0,29000.0,29000.0,48113018115,48113018131,48113018141,48113018141,48,113,2.0,,,268.0,268.0,10.0,147.0,101.0,10.0,0.0,,,,,,1991,1991,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,268.0,268.0,1.0,0.0,2.0,,,,AKA LAKE COLONY A.,X
TXA19910295,MARCH STREET,4528 MARCH AVE,DALLAS,TX,75209,TX0926,32.846632,-96.832965,1085.0,19000.0,19000.0,19000.0,48113007102,48113007102,48113007102,48113007102,48,113,2.0,,,60.0,60.0,0.0,0.0,60.0,0.0,0.0,,,,,,1991,1990,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,60.0,60.0,1.0,0.0,2.0,,,,,X
TXA19910305,MIDPARK CROSSING,13750 MAHAM RD,DALLAS,TX,75240,70133,32.935638,-96.760992,1085.0,19000.0,19000.0,19000.0,48113019209,48113019209,48113019212,48113019212,48,113,2.0,,,244.0,244.0,0.0,144.0,104.0,0.0,0.0,,,,,,1991,1990,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,244.0,244.0,1.0,0.0,2.0,,,,,X
TXA19910315,MILL RUN,2732 W COLORADO BLVD,DALLAS,TX,75211,TX0950,32.759573,-96.86594,1085.0,19000.0,19000.0,19000.0,48113006900,48113006900,48113006900,48113006900,48,113,2.0,,,112.0,112.0,0.0,44.0,68.0,0.0,0.0,,,,,,1991,1991,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,112.0,112.0,1.0,0.0,2.0,,,,PREVIOUSLY LISTED AS TXA1990225.,X
TXA19910330,OAK PARK APTS,2800 W PIONEER DR,IRVING,TX,75061,TX0965,32.82709,-96.983355,2060.0,37000.0,37000.0,37000.0,48113014402,48113014405,48113014405,48113014405,48,113,2.0,,,105.0,105.0,3.0,42.0,59.0,1.0,0.0,,,,,,1991,1991,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,105.0,105.0,1.0,0.0,2.0,,,,,X
