NAME,B19013_001E,B25077_001E,B25003_001E,B25003_002E,B25003_003E,B01003_001E,B03002_003E,B03002_004E,B03002_012E,state,county,tract
Census Tract 181.49; Dallas County; Texas,140398,355800,1125,961,164,3847,1247,1057,871,48,113,018149
Census Tract 181.50; Dallas County; Texas,104500,287500,1388,1148,240,3980,1890,781,1130,48,113,018150
Census Tract 181.51; Dallas County; Texas,97500,290800,1342,808,534,4336,1060,1601,963,48,113,018151
Census Tract 181.52; Dallas County; Texas,80912,256200,2146,1376,770,5436,1583,734,2148,48,113,018152
Census Tract 181.53; Dallas County; Texas,106488,297500,2355,2265,90,6951,2467,789,1065,48,113,018153
Census Tract 181.54; Dallas County; Texas,109131,309600,1945,1673,272,5201,3263,413,860,48,113,018154
Census Tract 181.55; Dallas County; Texas,127176,465200,1997,1697,300,6603,2468,994,1513,48,113,018155
Census Tract 181.56; Dallas County; Texas,116685,334500,1777,1228,549,5244,2049,1490,951,48,113,018156
Census Tract 181.57; Dallas County; Texas,95938,355500,1180,965,215,4051,1027,1572,607,48,113,018157
Census Tract 181.58; Dallas County; Texas,90185,241200,1518,820,698,4005,1312,1113,1113,48,113,018158
Census Tract 181.59; Dallas County; Texas,184129,571600,1765,1642,123,5700,3226,179,572,48,113,018159
Census Tract 182.03; Dallas County; Texas,80714,229600,1748,1410,338,6090,652,1408,3146,48,113,018203
Census Tract 182.04; Dallas County; Texas,60396,172100,1223,831,392,4953,82,326,4541,48,113,018204
Census Tract 182.05; Dallas County; Texas,58459,224000,1259,499,760,4021,456,205,2828,48,113,018205
Census Tract 182.06; Dallas County; Texas,60859,160900,1206,693,513,4263,494,383,3378,48,113,018206
Census Tract 183; Dallas County; Texas,77292,189200,2115,1491,624,6950,1717,140,4870,48,113,018300
Census Tract 184.01; Dallas County; Texas,70819,241600,1604,974,630,4535,1076,396,2869,48,113,018401
Census Tract 184.02; Dallas County; Texas,81250,283300,1444,1100,344,4453,1582,258,2496,48,113,018402
Census Tract 184.03; Dallas County; Texas,48646,-666666666,589,0,589,1544,232,404,824,48,113,018403
Census Tract 185.01; Dallas County; Texas,84009,190900,1221,866,355,4917,722,98,3894,48,113,018501
Census Tract 185.05; Dallas County; Texas,40038,-666666666,1752,95,1657,3928,88,2309,1107,48,113,018505
Census Tract 185.06; Dallas County; Texas,40246,-666666666,1497,0,1497,3130,421,2442,177,48,113,018506
Census Tract 185.07; Dallas County; Texas,38668,-666666666,1988,0,1988,4141,437,2697,781,48,113,018507
Census Tract 185.08; Dallas County; Texas,34797,140400,593,165,428,1435,239,402,492,48,113,018508
Census Tract 186; Dallas County; Texas,79196,229400,1361,1089,272,4004,1191,377,2155,48,113,018600
Census Tract 187; Dallas County; Texas,57691,185100,2011,1147,864,7231,925,249,5581,48,113,018700
Census Tract 188.01; Dallas County; Texas,68631,211300,1403,1192,211,4559,822,346,2898,48,113,018801
Census Tract 188.02; Dallas County; Texas,52959,204900,752,133,619,1725,550,400,660,48,113,018802
Census Tract 189; Dallas County; Texas,69125,226800,1854,1250,604,5918,862,597,2848,48,113,018900
Census Tract 190.13; Dallas County; Texas,39131,-666666666,1489,0,1489,4843,178,724,3803,48,113,019013
Census Tract 190.16; Dallas County; Texas,66696,239600,1139,460,679,2419,766,889,446,48,113,019016
