GEOID,DISTRICT_NUM,south_of_i30,population,median_income,pct_black,pct_hispanic,pct_nonwhite,ami_ratio,below_80_ami,cip_per_capita,cip_per_capita_raw,cip_outlier,investment_gap,log_cip,log_income,holc_grade,holc_d,cip_drainage_share,cip_econdev_share,cip_parks_share,cip_streets_share
48113000606,14,0,2828,136250,5.5,10.6,16.1,1.3903061224489797,0,960.6623024151444,960.6623024151444,0,767.5897844837655,6.868663352047305,11.82224671252549,A,0,0.11223589939386747,0.0,0.0,0.8877641006061325
48113007812,10,0,2782,200750,1.7,10.2,11.9,2.048469387755102,0,448.68145340757997,448.68145340757997,0,317.6421977754486,6.1085394507815955,12.209815631809008,None,0,0.13133507034377961,0.0,0.021422478291566144,0.8472424513646543
48113009803,6,1,2180,93100,4.7,66.0,70.7,0.95,0,1144.4546608156193,1144.4546608156193,0,861.8968673875809,7.043556920853242,11.441429463265159,None,0,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113006100,4,0,4703,56962,32.6,57.4,90.0,0.5812448979591837,1,584.3445174446689,584.3445174446689,0,122.52557555094376,6.372200592596124,10.950139657828984,None,0,0.06735801873091203,0.0,0.022501233371540308,0.9101407478975477
48113007809,9,0,3024,92727,10.6,26.0,36.6,0.9461938775510204,0,532.7493658553294,532.7493658553294,0,249.05496650939602,6.279926376449069,11.437414971281287,None,0,0.0746826774743875,0.0,0.0600848117099909,0.8652325108156216
48113013618,12,0,3080,71797,7.3,18.6,25.9,0.7326224489795918,1,1455.2483827016522,3048.190721214365,1,1088.8524250968726,7.283618806722254,11.181597971433588,None,0,0.04404139623159257,0.0,0.004234192790265588,0.9517244109781419
48113009900,6,1,6347,83482,16.0,41.2,57.2,0.8518571428571429,0,1144.4546608156193,1144.4546608156193,0,829.3432527498042,7.043556920853242,11.332386318738365,None,0,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113009804,6,1,6705,42756,2.8,85.1,87.89999999999999,0.4362857142857143,1,1144.4546608156193,1144.4546608156193,0,529.1929298737545,7.043556920853242,10.663264815393836,None,0,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113009103,5,0,3895,50927,35.7,59.7,95.4,0.5196632653061225,1,536.7663720701469,536.7663720701469,0,20.220520789875764,6.287424213189074,10.83814851376516,None,0,0.05841713535232536,0.0,0.028294400858266303,0.9132884637894084
48113001504,2,0,2605,71302,17.6,29.7,47.3,0.7275714285714285,1,1040.9583243653617,1040.9583243653617,0,672.0187354597157,6.948857225702865,11.174679656499864,C,0,0.2744964945778619,0.0,0.010918564247938387,0.7145849411741997
48113006800,1,0,5480,62134,9.5,78.3,87.8,0.6340204081632653,1,1097.3737013752673,1097.3737013752673,0,673.9963143061848,7.001585911500769,11.03704862212169,None,0,0.22650695935956927,0.04656007317550518,0.030475388851786633,0.696457578613139
48113006900,1,0,3567,56616,11.4,64.5,75.9,0.5777142857142857,1,1097.3737013752673,1097.3737013752673,0,632.7324238538888,7.001585911500769,10.94404690975562,None,0,0.22650695935956927,0.04656007317550518,0.030475388851786633,0.696457578613139
48113009701,6,1,4959,78365,3.7,65.7,69.4,0.7996428571428571,1,1144.4546608156195,1144.4546608156195,0,808.7674207447924,7.043556920853242,11.269132678088168,None,0,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113000100,9,0,4450,178472,5.5,10.5,16.0,1.8211428571428572,0,532.7493658553295,532.7493658553295,0,385.35296435733335,6.279926376449069,12.092187005152486,A,0,0.0746826774743875,0.0,0.0600848117099909,0.8652325108156216
48113000201,14,0,3088,195000,4.1,6.1,10.2,1.989795918367347,0,960.6623024151443,960.6623024151443,0,825.7590687323219,6.868663352047305,12.180754837545884,A,0,0.11223589939386747,0.0,0.0,0.8877641006061325
48113000202,14,0,3829,147708,4.9,9.0,13.9,1.5072244897959184,0,960.6623024151444,960.6623024151444,0,782.5667993404945,6.868663352047305,11.902992630898297,A,0,0.11223589939386747,0.0,0.0,0.8877641006061325
48113000300,14,0,4133,100409,2.6,10.8,13.4,1.0245816326530612,0,960.6623024151444,960.6623024151444,0,698.6725348828478,6.868663352047305,11.517007123656475,A,0,0.11223589939386747,0.0,0.0,0.8877641006061325
48113000401,2,0,4666,58232,22.8,40.0,62.8,0.594204081632653,1,1040.958324365362,1040.958324365362,0,589.2113370018784,6.948857225702866,10.972190310798094,None,0,0.2744964945778619,0.0,0.010918564247938387,0.7145849411741997
48113000405,2,0,1897,45300,51.3,15.8,67.1,0.46224489795918366,1,1040.958324365362,1040.958324365362,0,460.2490403002323,6.948857225702866,10.721062311471126,C,0,0.2744964945778619,0.0,0.010918564247938387,0.7145849411741997
